iter	Logloss
0	0.6883984778
1	0.6836094059
2	0.6793790889
3	0.6753077275
4	0.670739504
5	0.6665709244
6	0.6628532289
7	0.6587781257
8	0.6547810728
9	0.6509888694
10	0.6473447761
11	0.6436970848
12	0.640089444
13	0.6364747006
14	0.6331295403
15	0.6299005659
16	0.6269567366
17	0.6238567031
18	0.6208044293
19	0.6179198121
20	0.6149656316
21	0.6121523436
22	0.6092838291
23	0.606748111
24	0.6042550742
25	0.6014842344
26	0.5988210679
27	0.5964673813
28	0.5940351238
29	0.5915742138
30	0.5893556035
31	0.5871595258
32	0.5848342746
33	0.5825756659
34	0.5805663951
35	0.5785513878
36	0.5765713593
37	0.5744537132
38	0.5727413507
39	0.570890807
40	0.5688965448
41	0.5671567928
42	0.5654228402
43	0.563765125
44	0.5621232706
45	0.5603900703
46	0.5587280731
47	0.5572164872
48	0.5557187949
49	0.5542218122
50	0.5529143173
51	0.5513793961
52	0.5499634114
53	0.5486202414
54	0.5473108158
55	0.5460535767
56	0.5447728078
57	0.5434744522
58	0.5422403536
59	0.5411443601
60	0.539866494
61	0.5387030877
62	0.5375318379
63	0.5365164833
64	0.5354496309
65	0.5343860747
66	0.5334527482
67	0.5323492867
68	0.5312696028
69	0.5303377374
70	0.5294045567
71	0.5285502192
72	0.5276611632
73	0.526688414
74	0.5258488429
75	0.52491173
76	0.524097746
77	0.5232759013
78	0.522396287
79	0.5216211144
80	0.5208829891
81	0.5200909746
82	0.5193968703
83	0.5186219764
84	0.5178462535
85	0.5171858874
86	0.5164988271
87	0.5158550886
88	0.5152175013
89	0.5145922088
90	0.5139225911
91	0.5133512746
92	0.5127352662
93	0.5121478487
94	0.5115003537
95	0.5109184698
96	0.5103458188
97	0.5098063706
98	0.509220351
99	0.5087751099
100	0.5081506213
101	0.5076488141
102	0.5071356855
103	0.5066994136
104	0.5062031882
105	0.5057577262
106	0.5053135994
107	0.504880938
108	0.5044730224
109	0.5039694816
110	0.5035980373
111	0.503122885
112	0.5027324366
113	0.5023592533
114	0.5019628732
115	0.5015800586
116	0.5011713603
117	0.5008139559
118	0.5004828715
119	0.5001243983
120	0.4997726795
121	0.4994513918
122	0.4991401714
123	0.4988623856
124	0.4985339771
125	0.4982125746
126	0.4978940383
127	0.4975895029
128	0.4972744498
129	0.4970007567
130	0.4967158067
131	0.4964312866
132	0.496165354
133	0.4959108418
134	0.4956237039
135	0.4954070349
136	0.4951738794
137	0.49488671
138	0.4946993978
139	0.4944102243
140	0.4941738364
141	0.4939311446
142	0.4937202683
143	0.49351872
144	0.4933300349
145	0.4931011737
146	0.4928524735
147	0.4926121784
148	0.4924219697
149	0.4922363707
150	0.4920659174
151	0.4918562554
152	0.491646119
153	0.4914809841
154	0.4912905851
155	0.491117167
156	0.4909283749
157	0.4907415804
158	0.490578546
159	0.4904013146
160	0.4902341311
161	0.490075087
162	0.4899337691
163	0.4897866962
164	0.4896066885
165	0.4894657065
166	0.4893073711
167	0.4891928416
168	0.4890683398
169	0.4889027374
170	0.4887958791
171	0.4886548842
172	0.4885302046
173	0.4884012248
174	0.4882815791
175	0.4881348859
176	0.4880098524
177	0.4878872225
178	0.4877874093
179	0.4876992651
180	0.4875581314
181	0.4874478148
182	0.4873265763
183	0.4872187323
184	0.4871107619
185	0.4869595415
186	0.4868671905
187	0.4867717541
188	0.4866787903
189	0.4865806279
190	0.4865060667
191	0.4863806543
192	0.4862920856
193	0.4861788657
194	0.4860951473
195	0.4860034046
196	0.4859035034
197	0.4858124049
198	0.4857379643
199	0.4856287915
200	0.4855486025
201	0.4854541397
202	0.4853949967
203	0.4852982012
204	0.4852249999
205	0.4851542839
206	0.4850489441
207	0.4849928242
208	0.4848965843
209	0.4848350634
210	0.4847481453
211	0.4846918168
212	0.4846128803
213	0.48455172
214	0.4844989773
215	0.4844140389
216	0.4843607839
217	0.4842783056
218	0.4841971424
219	0.4841509699
220	0.4840788823
221	0.4840113665
222	0.4839505668
223	0.4838857704
224	0.4838152192
225	0.4837569559
226	0.4837092788
227	0.4836471323
228	0.4836046151
229	0.4835509423
230	0.4834975987
231	0.4834505475
232	0.4834068543
233	0.4833498426
234	0.4833071674
235	0.4832484232
236	0.4831964964
237	0.4831472066
238	0.4830837884
239	0.4830357823
240	0.4829955609
241	0.4829415853
242	0.4828743226
243	0.4828194044
244	0.4827713158
245	0.4827366598
246	0.4826927137
247	0.4826575451
248	0.482607705
249	0.4825755153
250	0.4825436038
251	0.4824954397
252	0.4824573306
253	0.4824179003
254	0.482380139
255	0.4823335688
256	0.4822836591
257	0.4822352862
258	0.4821916123
259	0.4821392617
260	0.4820984207
261	0.4820614501
262	0.4820237142
263	0.4819864784
264	0.4819525755
265	0.4819158075
266	0.4818806583
267	0.4818511122
268	0.4818219957
269	0.481787371
270	0.4817564275
271	0.4817286016
